aid,bvid,cid,title
116555396486299,BV1Eb411u7Fw,93127836,儿子用激将法刺激胖龙，胖龙恼羞成怒答应“输了网名改成“强彬传媒”全程无尿点
116555396486299,BV1Eb411u7Fw,94364979,儿子用激将法刺激胖龙，胖龙恼羞成怒答应“输了网名改成“强彬传媒”全程无尿点
116555396486299,BV1Eb411u7Fw,94365883,儿子用激将法刺激胖龙，胖龙恼羞成怒答应“输了网名改成“强彬传媒”全程无尿点
116555396486299,BV1Eb411u7Fw,94841071,胖龙买5斤羊肉，做“魔鬼椒火锅”又辣又香，吃的汗流浃背
116555396486299,BV1Eb411u7Fw,94842088,胖龙买5斤羊肉，做“魔鬼椒火锅”又辣又香，吃的汗流浃背
116555396486299,BV1Eb411u7Fw,95529575,二人组合再次上线，卤一锅鸭货，看看能不能“征服”胖龙
116555396486299,BV1Eb411u7Fw,96705893,二人组合再次上线，卤一锅鸭货，看看能不能“征服”胖龙
116555396486299,BV1Eb411u7Fw,96752521,儿子想吃香肠了，胖龙80买一整箱，炸的焦香酥脆，大人也想吃
116555396486299,BV1Eb411u7Fw,97630588,儿子想吃香肠了，胖龙80买一整箱，炸的焦香酥脆，大人也想吃
114392159032915,BV1Eb411u7Fw,122452656,2026 年了 强彬传媒还能崛起吗
114392159032915,BV1Eb411u7Fw,1525305818,2026 年了 强彬传媒还能崛起吗
113827504988124,BV1Eb411u7Fw,1525708785,儿子放假第一天。胖龙给他做韩式炸鸡腿，配上螺蛳粉，吃爽了
113827504988124,BV1Eb411u7Fw,1527535649,儿子放假第一天。胖龙给他做韩式炸鸡腿，配上螺蛳粉，吃爽了
113434985238562,BV1Eb411u7Fw,1528267176,家里来个小姐姐，胖龙烤“羊腰牛腰”招待，烤的滋滋冒油，真香
113434985238562,BV1Eb411u7Fw,1528769248,家里来个小姐姐，胖龙烤“羊腰牛腰”招待，烤的滋滋冒油，真香
116391264916714,BV1Eb411u7Fw,1543578392,儿子放假第一天，就给胖龙当头一棒，买10斤腰子，铁板煎着吃
116391264916714,BV1Eb411u7Fw,1546494406,儿子放假第一天，就给胖龙当头一棒，买10斤腰子，铁板煎着吃
114436316598393,BV1Eb411u7Fw,1546850337,胖龙感觉越来越管不住儿子了，中午做一只窑鸡，父子好好聊聊
114436316598393,BV1Eb411u7Fw,1550035880,胖龙感觉越来越管不住儿子了，中午做一只窑鸡，父子好好聊聊
913126517,BV1CAxaeHEeH,26087195706,儿子在学校表现好，胖龙又炸鸡又是螺蛳粉，再给他一个惊喜，儿子高兴的亲父亲！
913126517,BV1CAxaeHEeH,26090538280,儿子在学校表现好，胖龙又炸鸡又是螺蛳粉，再给他一个惊喜，儿子高兴的亲父亲！
113802792145871,BV1CAxaeHEeH,26091257968,胖龙120买十斤牛肚，天冷涮“北京涮肚”那叫一个地道
113802792145871,BV1CAxaeHEeH,26099909317,胖龙120买十斤牛肚，天冷涮“北京涮肚”那叫一个地道
115880969114331,BV1CAxaeHEeH,26100042685,胖龙买两扇羊排，三斤海螺，做“羊排鲜”，和儿子大口吃肉真香
